1	One World Trade Center	One World Trade Center cropped2.jpg	1,776 (541)	104	2014	285 Fulton Street	40°42′46.8″N 74°0′48.6″W	Tallest building in the Western Hemisphere by architectural height. Tallest building in New York City and the United States. 6th-tallest building in the world. Roof height is 1,368 feet (417 m), the same as the original World Trade Center. Footprint of the building is 200 by 200 feet (61 by 61 m), the same as the Twin Towers.
BIN	1088469
DOITT ID	1114961
SOURCE ID	21510003972

2	432 Park Avenue	432ParkNov2017.jpg	1,396 (426)	96	2015	432 Park Avenue	40°45′41″N 73°58′18.5″W	Second tallest building in NYC, tallest residential building in the world; 22nd-tallest building in the world; 3rd-tallest building in the United States.[20][21]
BIN	1088817
DOITT ID	1119374
SOURCE ID	12210022482

4	Empire State Building	Empire State Building by David Shankbone crop.jpg	1,250 (381)	103	1931	350 Fifth Avenue	40°44′54.36″N 73°59′08.36″W	42nd-tallest building in the world, 6th-tallest in the United States; first building in the world to contain over 100 floors. Built in just 14 months during the Great Depression, it was the world's tallest building from its completion in 1931 until the World Trade Center was completed in 1972, and was again New York City's tallest building after the World Trade Center was destroyed in the terrorist attacks of September 11, 2001, until 2013, when it was surpassed by One World Trade Center.[5][25]
BIN	1015862
DOITT ID	778052
SOURCE ID	12210009096

5	Bank of America Tower	Bank of America - new york.jpg	1,200 (366)	54	2009	1101 Sixth Avenue	40°45′19″N 73°59′03″W	45th-tallest building in the world, 6th-tallest in the United States; first skyscraper to receive a Platinum LEED certification.[6][26] Roof height is 953.5 feet (290.6 m).
BIN	1087268
DOITT ID	1213537
SOURCE ID	12210017046

8	Chrysler Building	Chrysler Building by David Shankbone Retouched.jpg	1,046 (319)	77	1930	405 Lexington Avenue	40°45′6.12″N 73°58′31.08″W	Tied for 13th-tallest in the United States; first building in the world to rise higher than 1,000 feet (305 m); stood as the tallest building in the world from 1930 until 1931 when it was surpassed by the Empire State Building; tallest steel-framed brick building in the world. At its completion overtook the Eiffel Tower as the world's tallest man-made structure. Was the tallest building in New York City before being surpassed by the Empire State Building.[31][32]
BIN	1036156
DOITT ID	464793
SOURCE ID	12210010508

9	The New York Times Building	New York Times Building.jpg	1,046 (319)	52	2007	620 Eighth Avenue	40°45′23″N 73°59′24″W	Tied for 13th-tallest in the United States. Also known as the Times Tower. The first high-rise building in the United States to have a ceramic sunscreen curtain wall.[33][34]
BIN	1087186
DOITT ID	996686
SOURCE ID	12210009818

11	One57	One57 from Columbus Circle, May 2014.png	1,004 (306)	75	2014	157 West 57th Street	40°45′55″N 73°58′45″W	Tallest mixed-use (residential and hotel) skyscraper in the city, 107th-tallest building in the world[37][38] Tallest mid-block building in the city.[citation needed]
BIN	1088565
DOITT ID	1256209
SOURCE ID	12210022082

